id,product_id,pdf_id,sort_order,created_at
1,1,1,0,2026-05-10 17:33:46
2,1,2,1,2026-05-10 17:33:46
3,1,3,2,2026-05-10 17:33:46
4,1,4,3,2026-05-10 17:33:46
5,2,5,0,2026-05-10 17:33:46
6,2,6,1,2026-05-10 17:33:46
7,2,7,2,2026-05-10 17:33:46
8,2,8,3,2026-05-10 17:33:46
9,3,9,0,2026-05-10 17:33:46
10,3,10,1,2026-05-10 17:33:46
11,3,11,2,2026-05-10 17:33:46
12,3,12,3,2026-05-10 17:33:46
13,4,13,0,2026-05-10 17:33:46
14,4,14,1,2026-05-10 17:33:46
15,4,15,2,2026-05-10 17:33:46
16,4,16,3,2026-05-10 17:33:46
17,5,17,0,2026-05-10 17:33:46
18,5,18,1,2026-05-10 17:33:46
19,5,19,2,2026-05-10 17:33:46
20,5,20,3,2026-05-10 17:33:46
21,6,21,0,2026-05-10 17:33:46
22,6,22,1,2026-05-10 17:33:46
23,6,23,2,2026-05-10 17:33:46
24,6,24,3,2026-05-10 17:33:46
25,7,25,0,2026-05-10 17:33:46
26,7,2,1,2026-05-10 17:33:46
27,7,26,2,2026-05-10 17:33:46
28,7,27,3,2026-05-10 17:33:46
29,8,5,0,2026-05-10 17:33:46
30,8,28,1,2026-05-10 17:33:46
31,8,29,2,2026-05-10 17:33:46
32,8,30,3,2026-05-10 17:33:46
33,9,31,0,2026-05-10 17:33:46
34,9,32,1,2026-05-10 17:33:46
35,9,33,2,2026-05-10 17:33:46
36,9,34,3,2026-05-10 17:33:46
37,10,9,0,2026-05-10 17:33:46
38,10,35,1,2026-05-10 17:33:46
39,10,36,2,2026-05-10 17:33:46
40,10,37,3,2026-05-10 17:33:46
41,11,9,0,2026-05-10 17:33:46
42,11,38,1,2026-05-10 17:33:46
43,11,39,2,2026-05-10 17:33:46
44,11,40,3,2026-05-10 17:33:46
