id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,position,sizes,thickness,material,shape
512,Versailles,"Natural stone plate available in beige or black, from the Natural Series collection. A sober and elegant piece that stands out for its robustness.",sanitare,DUSURI,Stone,False,DUS,Bathco,,,Length: 800mm | Width: 800mm | High: 50mm,,Natural stone,
513,Oco,"Disponible en beige o negro, este plato de piedra natural pertenece a la colección Natural Series. Su materialidad transmite solidez y permanencia.",sanitare,DUSURI,Stone,False,DUS,Bathco,,,Length: 1400mm | Width: 800mm | High: 70mm,,Sanitary ware,
514,Simi,"Non-slip surface and sober aesthetics for a safe and modern bathroom. Simi shower tray, in natural stone, ensures durability and comfortable day-to-day use.",sanitare,DUSURI,Stone,False,DUS,Bathco,,,Length: 1200mm | Width: 800mm | High: 95mm,,Natural stone,
515,Icono,"Shower tray in beige natural stone, belonging to the Natural Series collection. Robustness and warmth in a piece of great presence.",sanitare,DUSURI,Stone,False,DUS,Bathco,,,Length: 1400mm | Width: 800mm | High: 70mm,,Natural stone,
516,Simi bathtub,"Made of natural stone, this freestanding bathtub stands out for its beige finish, which brings luminosity and serenity. A sculptural piece that invites well-being.",sanitare,CAZI,Stone,False,CAZI,Bathco,,,Length: 1860mm | Width: 700mm | High: 460mm,,Natural stone,
517,Chester,"Cylindrical pedestal in black finish for a graphic and elegant gesture. Compatible with Rouen, Caen, Troyes, Mahé and Papua B.",sanitare,ACCESORII SI PIESE TEHNICE,Complements,False,PIEDESTALE,Bathco,,,Length: 480mm | Width: 342mm | High: 786mm,,Sanitary ware,
518,Pedestal steel bars,"Structure designed to accompany different washbasins, available in steel. Its sober design adds support and order without detracting from the main pieces.",sanitare,ACCESORII SI PIESE TEHNICE,Complements,False,PIEDESTALE,Bathco,,,Length: 400mm | Width: 200mm | High: 750mm,,Metal,
519,Pedestal wooden bars,"Structure designed to accompany different washbasins, available in wood. Its sober design adds support and order without detracting from the main pieces.",sanitare,ACCESORII SI PIESE TEHNICE,Complements,False,PIEDESTALE,Bathco,,,Diameter: 370mm | High: 750mm,,Wood,
520,Wooden pedestal 440,Designed to accompany specific models such as Florence B or Genoa B. Their light wood finish reinforces the warmth and connection with natural materials.,sanitare,ACCESORII SI PIESE TEHNICE,Complements,False,PIEDESTALE,Bathco,,,Diameter: 440mm | High: 740mm,,Wood,
521,Wooden pedestal 570,Designed to accompany specific models such as Florence B or Genoa B. Their light wood finish reinforces the warmth and connection with natural materials.,sanitare,ACCESORII SI PIESE TEHNICE,Complements,False,PIEDESTALE,Bathco,,,Diameter: 570mm | High: 740mm,,Wood,
522,Halong,"Bamboo pedestal available in various finishes, compatible with 380 mm washbasins such as Wadi, Dinan or Detroit. A natural base that brings warmth and freshness.",sanitare,ACCESORII SI PIESE TEHNICE,Complements,False,PIEDESTALE,Bathco,,,Diameter: 475mm | High: 800mm,,Sanitary ware,
523,Sisaket,"Bamboo pedestal compatible with Ruan, Caen and Troyes washbasins. A warm and light support that reinforces the naturalness of the whole.",sanitare,ACCESORII SI PIESE TEHNICE,Complements,False,PIEDESTALE,Bathco,,,Diameter: 300mm | High: 880mm,,Sanitary ware,
524,Pleiku,Bamboo pedestal designed to accompany the Gorea series washbasins. A natural and light support that reinforces the warmth of the composition.,sanitare,ACCESORII SI PIESE TEHNICE,Complements,False,PIEDESTALE,Bathco,,,Diameter: 425mm | High: 870mm,,Sanitary ware,
525,Round siphon,"Siphon in square or round version, available in chrome, white, black or rose gold finishes. Details that complete and refine the installation.",sanitare,ACCESORII SI PIESE TEHNICE,siphon,False,ACCESORII,Bathco,,,,,Metal,
526,Valve and siphon set,"Set including valve and siphon, designed to complete the installation of the basin.",sanitare,ACCESORII SI PIESE TEHNICE,siphon,False,ACCESORII,Bathco,,,Length: 78mm,,Sanitary ware,
