id,product_id,pdf_id,sort_order,created_at
1,2100,1,0,2026-05-10 18:48:15
2,2100,2,1,2026-05-10 18:48:15
3,2101,3,0,2026-05-10 18:48:15
4,2101,4,1,2026-05-10 18:48:15
5,2102,5,0,2026-05-10 18:48:15
6,2102,6,1,2026-05-10 18:48:15
7,2103,7,0,2026-05-10 18:48:15
8,2103,8,1,2026-05-10 18:48:15
9,2104,9,0,2026-05-10 18:48:15
10,2104,10,1,2026-05-10 18:48:15
11,2105,11,0,2026-05-10 18:48:15
12,2105,12,1,2026-05-10 18:48:15
13,2106,13,0,2026-05-10 18:48:15
14,2106,14,1,2026-05-10 18:48:15
15,2107,15,0,2026-05-10 18:48:15
16,2107,14,1,2026-05-10 18:48:15
17,2108,16,0,2026-05-10 18:48:15
18,2108,17,1,2026-05-10 18:48:15
19,2109,18,0,2026-05-10 18:48:15
20,2109,19,1,2026-05-10 18:48:15
21,2110,20,0,2026-05-10 18:48:15
22,2110,21,1,2026-05-10 18:48:15
23,2111,22,0,2026-05-10 18:48:15
24,2111,23,1,2026-05-10 18:48:15
