id,product_id,pdf_id,sort_order,created_at
1,87,1,0,2026-05-10 17:10:12
2,88,1,0,2026-05-10 17:10:12
3,89,1,0,2026-05-10 17:10:12
4,90,1,0,2026-05-10 17:10:12
5,91,2,0,2026-05-10 17:10:12
6,92,2,0,2026-05-10 17:10:12
7,93,2,0,2026-05-10 17:10:12
8,94,2,0,2026-05-10 17:10:12
9,95,2,0,2026-05-10 17:10:12
10,96,3,0,2026-05-10 17:10:12
11,97,3,0,2026-05-10 17:10:12
12,98,3,0,2026-05-10 17:10:12
13,99,3,0,2026-05-10 17:10:12
14,100,3,0,2026-05-10 17:10:12
15,106,4,0,2026-05-10 17:10:12
16,107,4,0,2026-05-10 17:10:12
17,108,4,0,2026-05-10 17:10:12
18,109,4,0,2026-05-10 17:10:12
19,110,4,0,2026-05-10 17:10:12
20,111,5,0,2026-05-10 17:10:12
21,112,5,0,2026-05-10 17:10:12
22,113,5,0,2026-05-10 17:10:12
23,114,5,0,2026-05-10 17:10:12
24,115,5,0,2026-05-10 17:10:12
25,116,5,0,2026-05-10 17:10:12
26,117,5,0,2026-05-10 17:10:12
