Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Variante LEMN/METAL,Variante PIELE,Variante TEXTIL,Link variante,COD REFERINTA,obs
,,PATURI,Bernhard Müller,SOVA,Oak Light,Leather Lugano / 2204,Flash / 9843 / steel,https://www.more-moebel.de/en/item/sova-bed,,
,,,,,Oak Sand,Leather Lugano / 0509,Loop / 02 / graphite,,,
,,,,,Oak Taupe,Leather Lugano / 2594,Loop / 01 / carbon grey,,,
,,,,,Oak Basalt,Leather Orta / 3654,Loop / 36 / olive,,,
,,,,,Oak Graphit,Leather Orta / 2159,Jette / 17,,,
,,,,,Smoked Oak,leather Orta / 2491,Rami / 6972,,,
,,,,,Natural walnut,Leather Orta / 1431,Rami / 3072,,,
,,,Bernhard Müller,NOVA,steel / anthracite,Leather Lugano / 2204,Flash / 9843 / steel,https://www.more-moebel.de/en/item/nova-bed,,
,,,,,Aluminium anodised,Leather Lugano / 0509,Loop / 02 / graphite,,,
,,,,,,Leather Lugano / 2594,Loop / 01 / carbon grey,,,
,,,,,,Leather Orta / 3654,Loop / 36 / olive,,,
,,,,,,Leather Orta / 2159,Jette / 17,,,
,,,,,,leather Orta / 2491,Rami / 6972,,,
,,,,,,Leather Orta / 1431,Rami / 3072,,,
