Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Nume variante/subtitlu,Variante culori,Link variante,COD REFERINTA,obs,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/50-5351-27p5a813bucy,27P5A813BUCY+4400R010AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/50-5351-2793a813bucy,2793A813BUCY+4400R010AU,,,,,
,,DUS,,AF/21 - Sistem de duș încastrat,,Chrome,https://www.fantini.it/en-us/product/50-5367-2702a817bucy,2702A817BUCY+4400A817AU,,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/50-5367-27p5a817bucy,27P5A817BUCY+4400A817AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/50-5367-2793a817bucy,2793A817BUCY+4400A817AU,,,,,
,,,,AF/21 - Duș de mână,,Chrome,https://www.fantini.it/en-us/product/50-3900-81028061u,81028061U,,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/50-3900-81p58061u,81P58061U,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/50-3900-81938061u,81938061U,,,,,
,,,,AF/21 - Baterie pentru duș,,Chrome,https://www.fantini.it/en-us/product/50-5352-2702a785bucx,2702A785BUCX+4400A785AU,,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/50-5352-27p5a785bucx,27P5A785BUCX+4400A785AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/50-5352-2793a785bucx,2793A785BUCX+4400A785AU,,,,,
,,CADA,,AF/21 - Baterie înaltă freestanding cu duș,,Chrome,https://www.fantini.it/en-us/product/50-3906-2702a580bu,2702A580BU+1700A036AU,,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/50-3906-27p5a580bu,27P5A580BU+1700A036AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/50-3906-2793a580bu,2793A580BU+1700A036AU,,,,,
,,,,AF/21 - Set de cadă încastrat,,Chrome,https://www.fantini.it/en-us/product/50-5364-2702a819bucx,2702A819BUCX+4400A819AU,,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/50-5364-27p5a819bucx,27P5A819BUCX+4400A819AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/50-5364-2793a819bucx,2793A819BUCX+4400A819AU,,,,,
