Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Nume variante/subtitlu,Variante culori,Link variante,COD REFERINTA,obs,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/49-5394-50p5m784bu,50P5M784BU+4400R084AU,,,,,
,,,,,,Matte British Gold PVD,https://www.fantini.it/en-us/product/49-5394-50p6m784bu,50P6M784BU+4400R084AU,,,,,
,,,,,,Matte Copper PVD,https://www.fantini.it/en-us/product/49-5394-50p9m784bu,50P9M784BU+4400R084AU,,,,,
,,,,,,Deep Black PVD,https://www.fantini.it/en-us/product/49-5394-50s1m784bu,50S1M784BU+4400R084AU,,,,,
,,,,,,Pure Brass PVD,https://www.fantini.it/en-us/product/49-5394-50q7m784bu,50Q7M784BU+4400R084AU,,,,,
,,,,,,Raw Metal PVD,https://www.fantini.it/en-us/product/49-5394-50q8m784bu,50Q8M784BU+4400R084AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/49-5394-5093m784bu,5093M784BU+4400R084AU,,,,,
,,,,Nostromo - Cap de duș/cadă încastrat,,chrome,https://www.fantini.it/en-us/product/49-5400-86028147u,86028147U,,,,,
,,,,,,Matte Black,https://www.fantini.it/en-us/product/49-5400-86138147u,86138147U,,,,,
,,,,,,Matte White,https://www.fantini.it/en-us/product/49-5400-86298147u,86298147U,,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/49-5400-86p58147u,86P58147U,,,,,
,,,,,,Matte British Gold PVD,https://www.fantini.it/en-us/product/49-5400-86p68147u,86P68147U,,,,,
,,,,,,Matte Copper PVD,https://www.fantini.it/en-us/product/49-5400-86p98147u,86P98147U,,,,,
,,,,,,Deep Black PVD,https://www.fantini.it/en-us/product/49-5400-86s18147u,86S18147U,,,,,
,,,,,,Pure Brass PVD,https://www.fantini.it/en-us/product/49-5400-86q78147u,86Q78147U,,,,,
,,,,,,Raw Metal PVD,https://www.fantini.it/en-us/product/49-5400-86q88147u,86Q88147U,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/49-5400-86938147u,86938147U,,,,,
,,CADA,,Nostromo - Set de cadă încastrat,,chrome,https://www.fantini.it/en-us/product/49-5269-5002m720bu,5002M720BU+4400R021AU,,,,,
,,,,,,Matte Black,https://www.fantini.it/en-us/product/49-5269-5013m720bu,5013M720BU+4400R021AU,,,,,
,,,,,,Matte White,https://www.fantini.it/en-us/product/49-5269-5029m720bu,5029M720BU+4400R021AU,,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/49-5269-50p5m720bu,50P5M720BU+4400R021AU,,,,,
,,,,,,Matte British Gold PVD,https://www.fantini.it/en-us/product/49-5269-50p6m720bu,50P6M720BU+4400R021AU,,,,,
,,,,,,Matte Copper PVD,https://www.fantini.it/en-us/product/49-5269-50p9m720bu,50P9M720BU+4400R021AU,,,,,
,,,,,,Deep Black PVD,https://www.fantini.it/en-us/product/49-5269-50s1m720bu,50S1M720BU+4400R021AU,,,,,
,,,,,,Pure Brass PVD,https://www.fantini.it/en-us/product/49-5269-50q7m720bu,50Q7M720BU+4400R021AU,,,,,
,,,,,,Raw Metal PVD,https://www.fantini.it/en-us/product/49-5269-50q8m720bu,50Q8M720BU+4400R021AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/49-5269-5093m720bu,5093M720BU+4400R021AU,,,,,
,,,,Nostromo - Baterie înaltă freestanding cu duș,,chrome,https://www.fantini.it/en-us/product/49-4636-5002e880bu,5002E880BU+4400R080AU,,,,,
,,,,,,Matte Black,https://www.fantini.it/en-us/product/49-4636-5013e880bu,5013E880BU+4400R080AU,,,,,
,,,,,,Matte White,https://www.fantini.it/en-us/product/49-4636-5029e880bu,5029E880BU+4400R080AU,,,,,
,,,,,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/49-4636-50p5e880bu,50P5E880BU+4400R080AU,,,,,
,,,,,,Matte British Gold PVD,https://www.fantini.it/en-us/product/49-4636-50p6e880bu,50P6E880BU+4400R080AU,,,,,
,,,,,,Matte Copper PVD,https://www.fantini.it/en-us/product/49-4636-50p9e880bu,50P9E880BU+4400R080AU,,,,,
,,,,,,Deep Black PVD,https://www.fantini.it/en-us/product/49-4636-50s1e880bu,50S1E880BU+4400R080AU,,,,,
,,,,,,Pure Brass PVD,https://www.fantini.it/en-us/product/49-4636-50q7e880bu,50Q7E880BU+4400R080AU,,,,,
,,,,,,Raw Metal PVD,https://www.fantini.it/en-us/product/49-4636-50q8e880bu,50Q8E880BU+4400R080AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/49-4636-5093e880bu,5093E880BU+4400R080AU,,,,,
,,DE BLAT,Vincent Van Duysen,Flora - Baterie înaltă ,,Chrome,https://www.fantini.it/en-ww/product/186-6116-7602j607w,7602J507W,,,,,
,,,,,,Polished Nickel PVD,https://www.fantini.it/en-ww/product/186-6116-7695j607w,7695J507W,,,,,
,,,,,,Matt Gun Metal PVD,https://www.fantini.it/en-ww/product/186-6116-76p5j607w,76P5J507W,,,,,
,,,,,,Mokka PVD,https://www.fantini.it/en-ww/product/186-6116-76s5j607w,76S5J507W,,,,,
,,,,,,Brushed Steel Look PVD,https://www.fantini.it/en-ww/product/186-6116-7692j607w,7692J507W,,,,,
,,DE PERETE,,Flora -Baterie încastrată,,Chrome,https://www.fantini.it/en-ww/product/186-6210-7602j610b,7602J610B+4400R010A,,,,,
,,,,,,Polished Nickel PVD,https://www.fantini.it/en-ww/product/186-6210-7695j610b,7695J610B+4400R010A,,,,,
,,,,,,Matt Gun Metal PVD,https://www.fantini.it/en-ww/product/186-6210-76p5j610b,76P5J610B+4400R010A,,,,,
,,,,,,Mokka PVD,https://www.fantini.it/en-ww/product/186-6210-76s5j610b,76S5J610B+4400R010A,,,,,
,,,,,,Brushed Steel Look PVD,https://www.fantini.it/en-ww/product/186-6210-7692j610b,7692J610B+4400R010A,,,,,
,,DE BIDEU,,Flora - Baterie bideu ,,Chrome,https://www.fantini.it/en-ww/product/186-6134-7602j708wf,7602J708WF,,,,,
,,,,,,Polished Nickel PVD,https://www.fantini.it/en-ww/product/186-6134-7695j708wf,7695J708WF,,,,,
