id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height
1800,Tris,"The three widths can be arranged as required to play with shapes and create a refined effect. Alternating the arrangement of 90, 110 and 135 mm wide floor boards gives original dynamic patterns.

Construcție: A 4.0 mm thick visible wood board, B Support in birch plywood, C Vinyl adhesive, D Lightly chamfered on 4 sides, E Tongue and groove on 4 sides.

Pentru mai multe tipuri de lemn și de finisaje puteți consulta catalogul producătorului.",parchet,CLASSIC,Tris,False,,Unikolegno,,,,,11/15 mm,Wood,,,,800-1400 mm,90/110/135 mm,
1801,Four,"From an elegant mix of four different widths, 70, 90, 110 and 135 mm, a more original and modern installation geometry is born, that highlights the natural differences and peculiarities between one floorboard and the next.

Construcție: A 4.0 mm thick visible wood board, B Support in birch plywood, C Vinyl adhesive, D Lightly chamfered on 4 sides, E Tongue and groove on 4 sides.

Pentru mai multe tipuri de lemn și de finisaje puteți consulta catalogul producătorului.",parchet,CLASSIC,Four,False,,Unikolegno,,,,,11/15 mm,Wood,,,,1400-1800 mm,70/90/110/135 mm,
1802,Type,"The perfect balance of beauty and technology also applies to large sizes. The result of research into quality materials and production techniques, two-layer wood flooring provides superb reliability and stunning good looks.

Construcție: A 4.0 mm thick visible wood board, B Support in birch plywood, C Vinyl adhesive, D Lightly chamfered on 4 sides, E Tongue and groove on 4 sides.

Pentru mai multe tipuri de lemn și de finisaje puteți consulta catalogul producătorului.",parchet,CLASSIC,Type,False,,Unikolegno,,,,,11 mm,Wood,,,,1200-2400 mm,155/192 or 200/240 mm,
1803,Loft Spina,"The refined herringbone and chevron laying patterns bring out the wonderful natural grain of the wood and create an attractive effect of movement in the floors of the Loft Collection. The parquet floors are made with two cutting angles at 30 and 45 degrees.

Construcție: A 4.0 mm thick visible wood board, B Support in birch plywood, C Vinyl adhesive, D Lightly chamfered on 4 sides, E Tongue and groove on 4 sides.

Pentru mai multe tipuri de lemn și de finisaje puteți consulta catalogul producătorului.",parchet,CHEVRON & HERRINGBONE,Spina,False,,Unikolegno,,,,,11/15 mm,Wood,,,,,90/135 mm,
1804,Loft Classic Spina,"The classic elegance created by the herringbone pattern enhances the quality of the refined woody essences. The Loft Classic Spina parquets, designed to develop this splendid pattern, are suited to laying with a cutting angle of 90 degrees.

Construcție: A 4.0 mm thick visible wood board, B Support in birch plywood, C Vinyl adhesive, D Lightly chamfered on 4 sides, E Tongue and groove on 4 sides.

Pentru mai multe tipuri de lemn și de finisaje puteți consulta catalogul producătorului.",parchet,CHEVRON & HERRINGBONE,Spina,False,,Unikolegno,,,,,11/15 mm,Wood,,,,600/700 mm,90/135 mm,
1805,Twenty,"Three lengths, one width, infinite compositions. Twenty is a new idea for wood flooring, easy to choose and live with. The concept is based on a 20cm wide module in three different lengths: 40, 60 and 80 cm. You can make up a customised wood floor as you wish, with a harmoniously proportioned pattern, charming to see and extremely practical.

Construcție: A 4.0 mm thick visible wood board, B Support in birch plywood, C Vinyl adhesive, D Lightly chamfered on 4 sides, B Tongue and groove on 4 sides.

Pentru mai multe tipuri de lemn și de finisaje puteți consulta catalogul producătorului.",parchet,SPECIALE,Twenty,False,,Unikolegno,,,,,15 mm,Wood,,,,400/600/800 mm,200 mm,
